Rank,Strategy,Combined_Score,Median_Monthly_%,Positive_Months_%,Total_Return_x,Benchmark_x,Outperformance_%,CAGR_%,MDD_%,Sharpe
82,SMA28_RSI40_70,0.0,0.0,48.421052631578945,2.0388515184764744,252.02972995313297,-12261.357738373288,9.56305269612554,-39.982622868815135,0.2379484650371266
83,SMA28_RSI40_75,0.0,0.0,44.21052631578947,3.861309475730717,252.02972995313297,-6427.05336200587,18.910735631062536,-44.290503242576115,0.5491670732659698
84,SMA28_RSI40_85,0.0,0.0,47.368421052631575,17.96065393186229,252.02972995313297,-1303.2324820090819,44.813052861863945,-41.49906855164196,1.028945376298607
85,SMA28_RSI45_75,0.0,0.0,46.31578947368421,3.934492071637656,252.02972995313297,-6305.648438585631,19.197306091981826,-44.09550514712879,0.562379855482208
86,SMA28_RSI45_85,0.0,0.0,49.473684210526315,18.30105847264848,252.02972995313297,-1277.1319857253036,45.16204694625425,-41.1789050966687,1.0464472688737543
87,SMA29_RSI30_70,0.0,0.0,46.31578947368421,2.4340351189565013,252.02972995313297,-10254.399901229897,12.080023367438454,-37.05800794757765,0.3435483685971857
88,SMA29_RSI30_75,0.0,0.0,44.21052631578947,4.514456989675809,252.02972995313297,-5482.725243135646,21.31718141762957,-41.57580904467299,0.6354958952117434
89,SMA29_RSI30_85,0.0,0.0,48.421052631578945,21.1197126333915,252.02972995313297,-1093.3388220190989,47.85254855349292,-39.76831474127408,1.0989356550324687
90,SMA29_RSI35_70,0.0,0.0,46.31578947368421,2.3770864041847592,252.02972995313297,-10502.46398740262,11.740355118171664,-36.705372493207506,0.3324614056736965
91,SMA29_RSI35_75,0.0,0.0,44.21052631578947,4.408832990477084,252.02972995313297,-5616.472601650094,20.94951915829002,-41.24848478225398,0.6255203822238393
92,SMA29_RSI35_85,0.0,0.0,48.421052631578945,20.625578230213392,252.02972995313297,-1121.9280697980485,47.40446855843305,-39.4308639074809,1.090706614815782
93,SMA29_RSI40_70,0.0,0.0,48.421052631578945,2.3401281650765755,252.02972995313297,-10669.911396920683,11.51610318979348,-38.15920518984818,0.32550195129761594
94,SMA29_RSI40_75,0.0,0.0,44.21052631578947,4.340285754010114,252.02972995313297,-5706.754306908837,20.706785341317868,-42.59796541221073,0.6210640001906172
95,SMA29_RSI40_85,0.0,0.0,47.368421052631575,20.30489781631054,252.02972995313297,-1141.2262904897866,47.10864225386444,-39.72172276050874,1.088767117718312
96,SMA29_RSI45_75,0.0,0.0,46.31578947368421,4.456348010540972,252.02972995313297,-5555.521726691588,21.115851936346996,-41.95678095798361,0.6395012570718257
97,SMA29_RSI45_85,0.0,0.0,49.473684210526315,20.84786489100421,252.02972995313297,-1108.899478535488,47.607182838935834,-38.928601273463784,1.1102200815936556
98,SMA30_RSI30_70,0.0,0.0,45.26315789473684,2.58282811323221,252.02972995313297,-9657.897889602,12.935851285395517,-37.93773095561639,0.37916950521011233
99,SMA30_RSI30_75,0.0,-0.08768636580077649,42.10526315789473,4.790426538262602,252.02972995313297,-5161.112511382744,22.243543026644396,-36.255358964239306,0.670977000229591
100,SMA30_RSI30_80,0.0,0.0,48.421052631578945,14.309807565468992,252.02972995313297,-1661.2377301376582,40.655130653860326,-40.069596494334206,1.0317702149527674
101,SMA30_RSI30_85,0.0,0.0,46.31578947368421,24.112585038188087,252.02972995313297,-945.220699290363,50.38607685931853,-38.39917791304674,1.1314706668068097
102,SMA30_RSI35_70,0.0,0.0,46.31578947368421,2.5122959295840235,252.02972995313297,-9931.848835374385,12.535676851335475,-37.93773095561639,0.36606770485129836
103,SMA30_RSI35_75,0.0,-0.08768636580077649,42.10526315789473,4.659608988841143,252.02972995313297,-5308.8171466038275,21.810387920525255,-35.898226631398806,0.6591645031176031
104,SMA30_RSI35_80,0.0,0.0,48.421052631578945,13.919033603389558,252.02972995313297,-1710.6841116595824,40.15673632941492,-39.73383360565402,1.021536642008107
105,SMA30_RSI35_85,0.0,0.0,46.31578947368421,23.454115638914825,252.02972995313297,-974.5650521777417,49.853202112170145,-38.054056426136725,1.1217056980719087
106,SMA30_RSI40_70,0.0,0.0,48.421052631578945,2.650378224169362,252.02972995313297,-9409.198636436879,13.310272852518779,-34.86965047624294,0.3930899409723338
107,SMA30_RSI40_75,0.0,0.0,43.15789473684211,4.915713173651958,252.02972995313297,-5027.022693350033,22.64882282424443,-37.37059889594716,0.6866390773252294
108,SMA30_RSI40_85,0.0,0.0,46.31578947368421,24.74321461278751,252.02972995313297,-918.5811904281903,50.88465892985066,-38.35152684192914,1.1472975682700965
109,SMA30_RSI45_75,0.0,0.0,46.31578947368421,5.106762469998557,252.02972995313297,-4835.2154409720215,23.249825069908958,-35.63617797147223,0.7131456755496763
110,SMA30_RSI45_85,0.0,0.0,48.421052631578945,25.704860171455195,252.02972995313297,-880.4750085083429,51.62402207060517,-36.73861708115351,1.1754651928166702
111,SMA31_RSI30_70,0.0,0.0,45.26315789473684,2.7430789741544364,252.02972995313297,-9087.840828783357,13.810783422996264,-40.651512497568476,0.4326723356039489
112,SMA31_RSI30_75,0.0,0.0,43.15789473684211,5.0876472371579,252.02972995313297,-4853.757959325885,23.190583343699387,-37.20276996487051,0.7207213285613828
113,SMA31_RSI30_80,0.0,0.0,49.473684210526315,15.197655645737969,252.02972995313297,-1558.346101714788,41.7448084906751,-37.314581851633825,1.0761027938640042
