name,tr,br,cagr,mdd,sharpe
Complex_SMA35_Mom20,179.32319307901784,252.02972995313297,0.9185073374033037,-51.343887046577855,1.7626723227131793
Complex_SMA30_Mom15,146.87234836553102,252.02972995313297,0.8710180699468106,-36.833098473896726,1.7590797027018708
Complex_SMA25_Mom20,134.42687563431613,252.02972995313297,0.8503324244824086,-57.94236419393597,1.6644398922724368
Complex_SMA35_Mom15,130.62055820086135,252.02972995313297,0.8436711917498987,-42.91794165160696,1.7277046128842724
VolTarget0.5_SMA25,121.61093329302942,252.02972995313297,0.8272007580964231,-67.97728267818515,1.5201717188411565
VolTarget0.4_SMA35,113.5578133774945,252.02972995313297,0.8115494559495304,-45.366625461028434,1.7326069822446235
VolTarget0.4_SMA30,108.81825350561394,252.02972995313297,0.8018782511764584,-46.348855245869494,1.7235847266141535
Complex_SMA25_Mom15,91.85462855716466,252.02972995313297,0.7639417557715362,-43.929197142407105,1.598400267167762
VolTarget0.4_SMA25,55.603671397646785,252.02972995313297,0.6561999525666795,-60.481657075446435,1.4841164544320322
VolTarget0.3_SMA35,41.99235447282038,252.02972995313297,0.5988326162562541,-35.3493396712906,1.697334532414793
VolTarget0.3_SMA30,40.00223002913544,252.02972995313297,0.5891155140133881,-36.26374836469093,1.681255519252513
VolTarget0.3_SMA25,23.60606609357954,252.02972995313297,0.4872875370699412,-49.66295559704159,1.4369242390204173
VolTarget0.2_SMA35,12.88429048054399,252.02972995313297,0.3784075895557035,-24.704183076490082,1.6865278044273546
Kelly_SMA30,12.698180979706935,252.02972995313297,0.3758917020364845,-19.436862518800364,1.6994664049879422
VolTarget0.2_SMA30,12.454550519440954,252.02972995313297,0.37254903837668185,-25.42844281437171,1.6695307426455752
Kelly_SMA35,11.57282363732531,252.02972995313297,0.3599532084725796,-30.852821591465812,1.628257981518842
Kelly_SMA25,9.677647142936943,252.02972995313297,0.3297557745616171,-27.359827179852665,1.5055804745869779
VolTarget0.2_SMA25,8.66373379900595,252.02972995313297,0.3114053468753555,-36.269755278242634,1.4118733224311109
