Rank,Strategy,Return_x,Benchmark_x,Gap_%,CAGR_%,MDD_%,Sharpe
105,EMA12>SMA30+ROC15>0,124.51743797594082,252.02972995313297,-50.5941469686549,85.61562801167506,-35.99739801540285,1.593469392146245
106,Trend_SMA32+ROC12>3%,123.2540555939735,252.02972995313297,-51.0954300443469,85.37310906132798,-36.06206091193232,1.6757174115280207
107,EMA10>SMA30+ROC15>0,122.96466214179978,252.02972995313297,-51.21025516923496,85.31725215210034,-34.48059871389677,1.5875577536761882
108,Price>1%_SMA25+ROC15>0,120.36462570477956,252.02972995313297,-52.24189395149439,84.81020262394594,-34.95975522677417,1.5299463397017332
109,DualMom_ROC5&20+SMA28,120.34755178709877,252.02972995313297,-52.24866851641733,84.80684149721857,-46.61862465399685,1.5650401516955696
110,Price>SMA24,120.18798809676981,252.02972995313297,-52.311979971918475,84.7754100944996,-54.62610121110085,1.3801753041870088
111,Price>2%_SMA32+ROC10>0,120.13404030219554,252.02972995313297,-52.333385301593005,84.76477504369846,-35.410680150334315,1.63272210085365
112,DualMom_ROC5&25+SMA32,120.06886801042056,252.02972995313297,-52.3592442714007,84.7519216862741,-32.22689053639639,1.6122245542501743
113,Trend_SMA30+ROC12>0%,117.95196459886867,252.02972995313297,-53.19918621473633,84.33107960994678,-40.9981507449601,1.5209818686833068
114,Trend_SMA28+ROC15>0%,117.09458169522762,252.02972995313297,-53.539377391309216,84.15875546696073,-42.0019743011899,1.5279698911981592
115,Price>0%_SMA28+ROC15>0,117.09458169522762,252.02972995313297,-53.539377391309216,84.15875546696073,-42.0019743011899,1.5279698911981592
116,EMA8>SMA25+ROC20>0,116.46674171406204,252.02972995313297,-53.788490851567396,84.03186775412908,-57.52676674149776,1.4285675123626127
117,Price>2%_SMA35+ROC15>0,115.69096655088498,252.02972995313297,-54.09630182423373,83.87425580310193,-34.60931514182946,1.5921574023645046
118,EMA12>SMA32+ROC20>0,114.06775375754424,252.02972995313297,-54.74035790192051,83.54146901582955,-46.867903391271085,1.4113609026249112
119,Price>2%_SMA32+ROC15>0,113.95111595158097,252.02972995313297,-54.786637285699925,83.51739757507444,-37.82448029724028,1.5681782186345103
120,Trend_SMA32+ROC15>2%,113.83566056186702,252.02972995313297,-54.83244751203134,83.49354899467359,-33.43026429069751,1.5652921656430074
121,Trend_SMA32+ROC18>3%,113.77256537890287,252.02972995313297,-54.85748232954111,83.4805070786737,-46.5679047502127,1.606413068891397
