k,j,total_return,cagr,mdd,sharpe_ratio,win_rate,final_equity
2,5,79.87729228424614,0.7147317888524853,-0.7373280103701834,1.2494364862300198,0.5031298904538342,79.87729228424614
2,7,48.87711260036438,0.6141202819578477,-0.7402361167699358,1.127471046703076,0.5039848197343454,48.87711260036438
2,9,63.26282664999723,0.6662066314358721,-0.7932834125653672,1.1938356168981266,0.506006006006006,63.26282664999723
2,11,48.394331385946096,0.6121490314981177,-0.7790616924963025,1.1170120517789996,0.5096439169139466,48.394331385946096
2,13,55.22589741648213,0.638569997827465,-0.8224611923107146,1.1403909626352735,0.5101588474325822,55.22589741648213
2,15,35.58825829312346,0.552287963804382,-0.8470386348805441,1.0446298803345384,0.5111751982696467,35.58825829312346
2,17,15.256333543366292,0.39858099575640105,-0.9018027676718594,0.8658355736594541,0.5100864553314121,15.256333543366292
2,19,48.05667583866578,0.6107600719277926,-0.8315741205244819,1.116697533695838,0.5116696588868941,48.05667583866578
2,21,23.104277220401194,0.47189281785210824,-0.8815374305592101,0.9463861581499365,0.5130403715612719,23.104277220401194
2,23,35.449067192936575,0.5515392848371397,-0.8391066279251737,1.0387228798378303,0.5104017216642754,35.449067192936575
2,25,16.66778246987221,0.41389847330224416,-0.8869819806250178,0.8737527862488934,0.5094207955338451,16.66778246987221
2,27,29.774098990252515,0.5185728990421945,-0.8112442305222617,0.9965028665761668,0.5140252454417953,29.774098990252515
2,29,31.077513802577133,0.5266037423286976,-0.8553988464955739,1.0055744572989214,0.5147887323943662,31.077513802577133
4,1,84.21360944589047,0.7259274688109449,-0.6423221034094568,1.337899535230479,0.4969893469198703,84.21360944589047
4,3,89.18619200556276,0.7381598838275556,-0.6515647370986105,1.3363806467415646,0.5046645935139937,89.18619200556276
4,5,56.365418090226925,0.6426949665366541,-0.695267923264306,1.214511991019762,0.5047619047619047,56.365418090226925
4,7,70.95071327511407,0.6898978413818664,-0.7307030087867391,1.2641250482673438,0.5102040816326531,70.95071327511407
4,9,59.53167279280453,0.6537842318385463,-0.6707603679572747,1.2005859300093364,0.5110370678883799,59.53167279280453
4,11,69.54509224633821,0.6857401934730849,-0.6620354670075,1.254081170043349,0.5077741407528642,69.54509224633821
4,13,78.6080938447371,0.7113540942908221,-0.7075282522223602,1.2675327546027635,0.5103869653767821,78.6080938447371
4,15,22.179473248583538,0.46450944162216246,-0.7899627522764517,0.9619909334851967,0.5083201267828843,22.179473248583538
4,17,26.841675071231975,0.49931327698677475,-0.775038288848446,0.99914055285843,0.5105799373040752,26.841675071231975
4,19,13.076988406232852,0.37229263093151066,-0.8619638512289076,0.8411377837194802,0.5092592592592593,13.076988406232852
4,21,21.722273921218385,0.46075904108707055,-0.8171261698486558,0.9510883965352696,0.5104166666666666,21.722273921218385
4,23,17.984901041801848,0.42719850996651587,-0.8324790161043554,0.9128534097844938,0.5124951941560938,17.984901041801848
4,25,33.93486146438493,0.5432236773242003,-0.7332923438277716,1.0453543451599514,0.5141308555942702,33.93486146438493
4,27,23.132030375810924,0.47211035840460114,-0.7997755198248584,0.9562787666417532,0.5126206384558277,23.132030375810924
4,29,31.219277935652546,0.5274593055364978,-0.8446709021940757,1.0189377838768061,0.516153553781832,31.219277935652546
6,1,92.97867251322316,0.7470935060735089,-0.7174152150030275,1.3929701256666867,0.5022670025188917,92.97867251322316
6,3,91.03166946751531,0.7425478786348361,-0.7234421757069261,1.370625644172775,0.5082125603864734,91.03166946751531
6,5,75.34210681212541,0.7024373146564922,-0.7764247319109399,1.3124412135681578,0.5114861697140178,75.34210681212541
6,7,51.75268846470202,0.6255197375214936,-0.800533166436448,1.2079096161380385,0.5081967213114754,51.75268846470202
6,9,46.38499158706547,0.6037548257522254,-0.7308676931752909,1.1633840661064119,0.5092467298150654,46.38499158706547
6,11,54.49654452529859,0.6358904533406164,-0.7123154457889271,1.216491796748973,0.5108743897026188,54.49654452529859
6,13,36.041904848614465,0.554710337210248,-0.8132076616866862,1.1034195392502915,0.512549537648613,36.041904848614465
6,15,27.87080003043572,0.5062736766023024,-0.8059639337329166,1.0242915976762594,0.5106022052586938,27.87080003043572
6,17,11.90204709453388,0.3564802845252588,-0.8882433373909716,0.8283922051047177,0.5057708161582852,11.90204709453388
6,19,28.430792858707573,0.5099669763414949,-0.8223123378960836,1.0265539739867218,0.5130004127115146,28.430792858707573
6,21,13.574426397189134,0.37861408371076477,-0.8825888635281748,0.8592370250675516,0.5112593828190158,13.574426397189134
6,23,21.650221434098075,0.4601616930917014,-0.8242654618543311,0.9610521467213069,0.5119869971556278,21.650221434098075
6,25,13.390605763203757,0.37630211999257135,-0.8687928641020914,0.8451826143551279,0.5123577873675952,13.390605763203757
6,27,16.16839549060096,0.4086137032435171,-0.8792030220152751,0.8924765850318792,0.512912197059992,16.16839549060096
6,29,17.245013856137202,0.4198367385282624,-0.8528974957904737,0.9069862976860743,0.5154884829229547,17.245013856137202
8,1,89.11276171356756,0.7379836469201535,-0.6081630389981891,1.4153398556842467,0.512263099219621,89.11276171356756
8,3,88.46801218142147,0.7364307191325408,-0.6655413565063363,1.3953487421193886,0.5146980224478889,88.46801218142147
8,5,81.6578172540844,0.7193918011189109,-0.6721732507147685,1.3627734007605712,0.515353121801433,81.6578172540844
8,7,50.50290945051626,0.6206353582654089,-0.7345032899897471,1.2242487632706305,0.5125250501002004,50.50290945051626
8,9,43.647505776396365,0.5917901193233686,-0.7291629840670794,1.1771843436534932,0.5158887785501489,43.647505776396365
8,11,76.06179448424169,0.7044309156143571,-0.6831655960091518,1.3305304402304932,0.513291445142581,76.06179448424169
8,13,50.674840231901406,0.6213135427913303,-0.7844138346933625,1.2151407274652588,0.5119047619047619,50.674840231901406
8,15,33.12051452061396,0.5386160258473904,-0.778758995320699,1.0861039560479122,0.5134518923848609,33.12051452061396
8,17,40.18684576995946,0.5756849265931165,-0.8162520098215514,1.137735246214963,0.5180221811460258,40.18684576995946
