Rank,Strategy,Median_Monthly_%,Bench_Median_%,Gap_%p,Positive_Months_%,Monthly_Std_%,Total_Return_x,Benchmark_x,MDD_%,Sharpe
22,DualTF_SMA30_80,0.0,0.0,0.0,34.73684210526316,13.519979802077431,33.128306562257606,252.02972995313297,-34.713560147981035,1.4924629067406336
23,MomStrength_SMA28_ROC2,0.0,0.0,0.0,43.15789473684211,14.281491322762578,137.25604624514534,252.02972995313297,-44.776993633707455,1.4887990205184591
24,MomStrength_SMA28_ROC3,0.0,0.0,0.0,43.15789473684211,14.021362759000718,187.15604882053884,252.02972995313297,-41.34820801805969,1.6163478536305511
25,MomStrength_SMA28_ROC5,0.0,0.0,0.0,42.10526315789473,12.76896455900272,101.48691816621806,252.02972995313297,-41.807798944755454,1.4558239800435138
26,MomStrength_SMA30_ROC2,0.0,0.0,0.0,43.15789473684211,14.204697755480593,159.79324614321354,252.02972995313297,-43.96381491446946,1.5400812275753895
27,MomStrength_SMA30_ROC3,0.0,0.0,0.0,43.15789473684211,14.06557669868606,204.47594572929376,252.02972995313297,-42.35168979052919,1.6358895024392548
28,MomStrength_SMA30_ROC5,0.0,0.0,0.0,42.10526315789473,12.759646442130727,112.80893483785808,252.02972995313297,-42.58389398683848,1.4836715216885599
29,MomStrength_SMA32_ROC2,0.0,0.0,0.0,43.15789473684211,14.186972805395522,153.28709534612727,252.02972995313297,-45.209885866970936,1.5437789148177878
30,MomStrength_SMA32_ROC3,0.0,0.0,0.0,43.15789473684211,14.097151913260365,187.8572405455662,252.02972995313297,-43.63360940556324,1.6226404714556117
31,MomStrength_SMA32_ROC5,0.0,0.0,0.0,42.10526315789473,12.790109633230859,104.75278015986694,252.02972995313297,-42.27995816297317,1.4737297285967483
32,VolAdjust_SMA28_ATR20_80,0.0,0.0,0.0,42.10526315789473,11.039909025057918,16.212746279262543,252.02972995313297,-31.10307156809256,1.2589352400558713
33,VolAdjust_SMA30_ATR20_80,0.0,0.0,0.0,42.10526315789473,10.957618237433273,20.49277511093486,252.02972995313297,-28.983697500535794,1.3582612535491834
34,VolAdjust_SMA32_ATR20_80,0.0,0.0,0.0,41.05263157894737,11.07017438288857,18.603889621477297,252.02972995313297,-29.123719073155968,1.317083177732211
35,Breakout_High20_SMA28,0.0,0.0,0.0,27.368421052631582,5.813621071855851,4.222090375502748,252.02972995313297,-21.440609859649122,0.7399282385584368
36,Breakout_High20_SMA30,0.0,0.0,0.0,27.368421052631582,5.813621071855851,4.222090375502748,252.02972995313297,-21.440609859649122,0.7399282385584368
37,Breakout_High20_SMA32,0.0,0.0,0.0,27.368421052631582,5.813621071855851,4.222090375502748,252.02972995313297,-21.440609859649122,0.7399282385584368
38,MeanRevProtect_SMA28_ROC10_20,0.0,0.0,0.0,48.421052631578945,12.673263299324487,39.98289498738208,252.02972995313297,-41.016052880673186,1.3619418579511116
